,Comuna,Ambientes,Period,Variance
0,Total,1,2018 - 2do. trim.,9.649494957976232
1,Total,2,2018 - 2do. trim.,9.161115563428227
2,Total,3,2018 - 2do. trim.,4.418274628267402
3,Total,1,2018 - 3er. trim.,5.63909761464003
4,Total,2,2018 - 3er. trim.,5.4013021682002424
5,Total,3,2018 - 3er. trim.,3.958903975454913
6,Total,1,2018 - 4to. trim.,8.369817865529049
7,Total,2,2018 - 4to. trim.,6.667840366619355
8,Total,3,2018 - 4to. trim.,7.28592371252847
9,Total,1,2019 - 1er. trim.,6.955452167783946
10,Total,2,2019 - 1er. trim.,9.137220165237705
11,Total,3,2019 - 1er. trim.,7.824325979545556
12,Total,1,2019 - 2do. trim.*,9.258019573455908
13,Total,2,2019 - 2do. trim.*,6.783115502859979
14,Total,3,2019 - 2do. trim.*,5.677266383343669
15,Total,1,2019 - 3er. trim.*,7.25512725937683
16,Total,2,2019 - 3er. trim.*,8.629052333159303
17,Total,3,2019 - 3er. trim.*,7.769207776640258
18,Total,1,2019 - 4to. trim.*,6.42352022217076
19,Total,2,2019 - 4to. trim.*,5.70165996047685
20,Total,3,2019 - 4to. trim.*,5.3847846843203495
21,Total,1,2020 - 1er. trim.*,8.852213390728469
22,Total,2,2020 - 1er. trim.*,7.024353389695018
23,Total,3,2020 - 1er. trim.*,9.479143467696199
24,Total,1,2020 - 2do. trim.*,11.200170355808137
25,Total,2,2020 - 2do. trim.*,10.670191304196324
26,Total,3,2020 - 2do. trim.*,10.492818691121267
27,Total,1,2020 - 3er. trim.*,14.780384484830039
28,Total,2,2020 - 3er. trim.*,18.06238424882943
29,Total,3,2020 - 3er. trim.*,19.101899174608327
30,Total,1,2020 - 4to. trim.*,10.727295920854926
31,Total,2,2020 - 4to. trim.*,9.962447100403976
32,Total,3,2020 - 4to. trim.*,13.60462739274598
33,Total,1,2021 - 1er. trim.*,10.593541423341918
34,Total,2,2021 - 1er. trim.*,10.977093239555336
35,Total,3,2021 - 1er. trim.*,10.686999007640436
36,Total,1,2021 - 2do. trim.*,12.803188118357802
37,Total,2,2021 - 2do. trim.*,13.986818008726196
38,Total,3,2021 - 2do. trim.*,11.44195546403058
39,Total,1,2021 - 3er. trim.*,10.955943914382832
40,Total,2,2021 - 3er. trim.*,11.284927494926603
41,Total,3,2021 - 3er. trim.*,12.057207073555519
42,Total,1,2021 - 4to. trim.*,8.902693947987144
43,Total,2,2021 - 4to. trim.*,9.134083455388733
44,Total,3,2021 - 4to. trim.*,11.523809772779277
45,Total,1,2022 - 1er. trim.*,14.624082243511388
46,Total,2,2022 - 1er. trim.*,14.805926689353024
47,Total,3,2022 - 1er. trim.*,14.588919388717638
48,Total,1,2022 - 2do. trim.*,20.933195219297478
49,Total,2,2022 - 2do. trim.*,21.814323977169934
50,Total,3,2022 - 2do. trim.*,17.07411961630536
51,Total,1,2022 - 3er. trim.*,21.803538339063156
52,Total,2,2022 - 3er. trim.*,20.163262988088455
53,Total,3,2022 - 3er. trim.*,18.95532822762197
54,Total,1,2022 - 4to. trim.*,20.749671287948402
55,Total,2,2022 - 4to. trim.*,16.136081403220967
56,Total,3,2022 - 4to. trim.*,16.50706345550258
57,Total,1,2023 - 1er. trim.*,24.222844288778358
58,Total,2,2023 - 1er. trim.*,23.481412375635482
59,Total,3,2023 - 1er. trim.*,27.533764970123176
